#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1,Adam Ottavino,493603,1247,1247,7037,*01sgi*,NYM,RP,RP,Ottavino,Adam,Ottavino,Adam
2,Matt Moore,519043,1890,1890,8029,*01fug*,LAA,RP,RP,Moore,Matt,Moore,Matt
3,Clayton Kershaw,477132,2036,2036,7150,*005ih*,LAD,SP,SP,Kershaw,Clayton,Kershaw,Clayton
4,David Peralta,444482,2136,2136,8801,*03d1m*,SD,OF,OF,Peralta,David,Peralta,David
5,Carlos Santana,467793,2396,2396,7514,*01cfr*,MIN,1B,1B,Santana,Carlos,Santana,Carlos
6,Cory Rasmus,474284,2413,,8492,,TB,RP,RP,Rasmus,Cory,Rasmus,Cory
7,Lance Lynn,458681,2520,2520,7766,*01s94*,STL,SP,SP,Lynn,Lance,Lynn,Lance
8,Tommy Pham,502054,2967,2967,8919,*025fx*,STL,OF,OF,Pham,Tommy,Pham,Tommy
9,Kenley Jansen,445276,3096,3096,7931,*01svz*,BOS,RP,RP,Jansen,Kenley,Jansen,Kenley
10,Max Scherzer,453286,3137,3137,6837,*004ee*,TEX,SP,SP,Scherzer,Max,Scherzer,Max
11,T.J. McFarland,519008,3237,3237,8445,*02nho*,OAK,RP,RP,McFarland,T.J.,McFarland,T.J.
12,Anthony Rizzo,519203,3473,3473,8018,*01sea*,NYY,1B,1B,Rizzo,Anthony,Rizzo,Anthony
13,Liam Hendriks,521230,3548,3548,8170,*01ub8*,BOS,RP,RP,Hendriks,Liam,Hendriks,Liam
14,Matt Buschmann,501936,3832,,9343,,TOR,P,P,Buschmann,Matt,Buschmann,Matt
15,Justin Wilson,458677,4301,4301,8007,*025ko*,CIN,RP,RP,Wilson,Justin,Wilson,Justin
16,Joey Votto,458015,4314,4314,5283,*00031*,TOR,1B,1B,Votto,Joey,Votto,Joey
17,Tyler Chatwood,543022,4338,4338,8005,*01sfa*,ARI,RP,RP,Chatwood,Tyler,Chatwood,Tyler
18,Charlie Morton,450203,4676,4676,6918,*005jn*,ATL,SP,SP,Morton,Charlie,Morton,Charlie
19,Rich Hill,448179,4806,4806,5831,,BOS,SP,SP,Hill,Rich,Hill,Rich
20,Jason Heyward,518792,4940,4940,7112,*01c5o*,LAD,OF,OF,Heyward,Jason,Heyward,Jason
21,Giancarlo Stanton,519317,4949,4949,7789,*01cdf*,NYY,OF,OF,Stanton,Giancarlo,Stanton,Giancarlo
22,Jake Diekman,518617,5003,5003,8282,*02iya*,FA,RP,RP,Diekman,Jake,,
23,Anthony Gose,543238,5097,5097,7938,*01sha*,CLE,RP,RP,Gose,Anthony,Gose,Anthony
24,Justin Turner,457759,5235,5235,7742,*01lum*,SEA,1B,1B/3B,Turner,Justin,Turner,Justin
25,Robbie Grossman,543257,5254,5254,8471,*01seb*,TEX,OF,OF,Grossman,Robbie,Grossman,Robbie
26,Sandy Leon,506702,5273,5273,8285,*02jtq*,ATL,C,C,Leon,Sandy,León,Sandy
27,Brandon Crawford,543063,5343,5343,8076,*01sdl*,STL,SS,SS,Crawford,Brandon,Crawford,Brandon
28,Freddie Freeman,518692,5361,5361,7793,*01cgo*,LAD,1B,1B,Freeman,Freddie,Freeman,Freddie
29,Jose Altuve,514888,5417,5417,8116,*024m0*,HOU,2B,2B,Altuve,Jose,Altuve,Jose
30,Jesse Chavez,445926,5448,5448,6704,*013ip*,ATL,RP,RP,Chavez,Jesse,Chavez,Jesse
31,Kyle Higashioka,543309,5517,5517,9470,*01usr*,SD,C,C,Higashioka,Kyle,Higashioka,Kyle
32,Ryan Brasier,518489,5615,5615,8481,*021jb*,LAD,RP,RP,Brasier,Ryan,Brasier,Ryan
33,Hernan Perez,541650,5751,5751,8317,*021wf*,CIN,SS,1B/2B/ SS/3B/ O,Perez,Hernan,Pérez,Hernán
34,Wilmer Flores,527038,5827,5827,7538,*01cgt*,SF,1B/3B,1B/3B,Flores,Wilmer,Flores,Wilmer
35,Leury Garcia,544725,5913,5913,8440,,ATL,2B,2B/SS/ 3B/OF,Garcia,Leury,Garcia,Leury
36,J.D. Martinez,502110,6184,6184,8122,*02334*,NYM,DH,DH,Martinez,J.D.,Martinez,J.D.
37,Alex Cobb,502171,6562,6562,8058,*01seh*,CLE,SP,SP,Cobb,Alex,Cobb,Alex
38,Carlos Carrasco,471911,6632,6632,7183,*01as6*,CLE,SP,SP,Carrasco,Carlos,Carrasco,Carlos
39,Craig Kimbrel,518886,6655,6655,7760,*01scl*,BAL,RP,RP,Kimbrel,Craig,Kimbrel,Craig
40,Julio Teheran,527054,6797,6797,7404,*01cih*,BAL,SP,SP,Teheran,Julio,Teheran,Julio
41,Johnny Cueto,456501,6893,6893,6968,,LAA,SP,SP,Cueto,Johnny,Cueto,Johnny
42,Chase Anderson,502624,6895,6895,8781,*026k6*,TEX,RP,RP,Anderson,Chase,Anderson,Chase
43,Martin Perez,527048,6902,6902,7791,*01fhm*,SD,SP,SP,Perez,Martin,Pérez,Martín
44,Luis Garcia,472610,6984,6984,8542,*0321h*,BOS,RP,RP,Garcia,Luis,García,Luis
45,Ryan Pressly,519151,7005,7005,8452,*02zif*,HOU,RP,RP,Pressly,Ryan,Pressly,Ryan
46,Daniel Hudson,543339,7146,7146,7627,*01fd0*,LAD,RP,RP,Hudson,Daniel,Hudson,Daniel
47,Salvador Perez,521692,7304,7304,8134,*01u75*,KC,C/1B,C/1B,Perez,Salvador,Perez,Salvador
