"","game_id","season","game_type","week","gameday","weekday","gametime","away_team","away_score","home_team","home_score","location","result","total","overtime","old_game_id","gsis","nfl_detail_id","pfr","pff","espn","ftn","away_rest","home_rest","away_moneyline","home_moneyline","spread_line","away_spread_odds","home_spread_odds","total_line","under_odds","over_odds","div_game","roof","surface","temp","wind","away_qb_id","home_qb_id","away_qb_name","home_qb_name","away_coach","home_coach","referee","stadium_id","stadium"
"1","2024_01_BAL_KC",2024,"REG",1,"2024-09-05","Thursday","20:20","BAL",NA,"KC",NA,"Home",NA,NA,NA,"2024090500",NA,NA,"202409050kan",NA,"401671789",NA,7,7,124,-148,2.5,100,-120,46.5,-110,-110,0,"outdoors","grass",NA,NA,"00-0034796","00-0033873","Lamar Jackson","Patrick Mahomes","John Harbaugh","Andy Reid",NA,"KAN00","GEHA Field at Arrowhead Stadium"
"2","2024_01_GB_PHI",2024,"REG",1,"2024-09-06","Friday","20:15","GB",NA,"PHI",NA,"Neutral",NA,NA,NA,"2024090600",NA,NA,"202409060phi",NA,"401671805",NA,7,7,110,-130,2.5,-112,-108,48.5,-108,-112,0,"outdoors","grass",NA,NA,"00-0036264","00-0036389","Jordan Love","Jalen Hurts","Matt LaFleur","Nick Sirianni",NA,"PHI00","Lincoln Financial Field"
"3","2024_01_PIT_ATL",2024,"REG",1,"2024-09-08","Sunday","13:00","PIT",NA,"ATL",NA,"Home",NA,NA,NA,"2024090800",NA,NA,"202409080atl",NA,"401671744",NA,7,7,124,-148,3,-115,-105,42,-112,-108,0,"closed","fieldturf",NA,NA,"00-0029263","00-0029604","Russell Wilson","Kirk Cousins","Mike Tomlin","Raheem Morris",NA,"ATL97","Mercedes-Benz Stadium"
"4","2024_01_ARI_BUF",2024,"REG",1,"2024-09-08","Sunday","13:00","ARI",NA,"BUF",NA,"Home",NA,NA,NA,"2024090801",NA,NA,"202409080buf",NA,"401671617",NA,7,7,200,-245,5.5,-105,-115,48,-108,-112,0,"outdoors","a_turf",NA,NA,"00-0035228","00-0034857","Kyler Murray","Josh Allen","Jonathan Gannon","Sean McDermott",NA,"BUF00","New Era Field"
"5","2024_01_TEN_CHI",2024,"REG",1,"2024-09-08","Sunday","13:00","TEN",NA,"CHI",NA,"Home",NA,NA,NA,"2024090802",NA,NA,"202409080chi",NA,"401671719",NA,7,7,170,-205,4.5,-112,-108,43,-108,-112,0,"outdoors","grass",NA,NA,"00-0039152","00-0039918","Will Levis","Caleb Williams","Brian Callahan","Matt Eberflus",NA,"CHI98","Soldier Field"
"6","2024_01_NE_CIN",2024,"REG",1,"2024-09-08","Sunday","13:00","NE",NA,"CIN",NA,"Home",NA,NA,NA,"2024090803",NA,NA,"202409080cin",NA,"401671628",NA,7,7,340,-440,9,-110,-110,43,-110,-110,0,"outdoors","fieldturf",NA,NA,"00-0033119","00-0036442","Jacoby Brissett","Joe Burrow","Jerod Mayo","Zac Taylor",NA,"CIN00","Paycor Stadium"
"7","2024_01_HOU_IND",2024,"REG",1,"2024-09-08","Sunday","13:00","HOU",NA,"IND",NA,"Home",NA,NA,NA,"2024090804",NA,NA,"202409080clt",NA,"401671861",NA,7,7,-122,102,-1.5,-110,-110,48,-110,-110,1,"closed","fieldturf",NA,NA,"00-0039163","00-0039164","C.J. Stroud","Anthony Richardson","DeMeco Ryans","Shane Steichen",NA,"IND00","Lucas Oil Stadium"
"8","2024_01_JAX_MIA",2024,"REG",1,"2024-09-08","Sunday","13:00","JAX",NA,"MIA",NA,"Home",NA,NA,NA,"2024090805",NA,NA,"202409080mia",NA,"401671849",NA,7,7,150,-180,3.5,-110,-110,49,-110,-110,0,"outdoors","grass",NA,NA,"00-0036971","00-0036212","Trevor Lawrence","Tua Tagovailoa","Doug Pederson","Mike McDaniel",NA,"MIA00","Hard Rock Stadium"
"9","2024_01_CAR_NO",2024,"REG",1,"2024-09-08","Sunday","13:00","CAR",NA,"NO",NA,"Home",NA,NA,NA,"2024090806",NA,NA,"202409080nor",NA,"401671734",NA,7,7,164,-198,4,-108,-112,40,-112,-108,1,"dome","sportturf",NA,NA,"00-0039150","00-0031280","Bryce Young","Derek Carr","Dave Canales","Dennis Allen",NA,"NOR00","Mercedes-Benz Superdome"
"10","2024_01_MIN_NYG",2024,"REG",1,"2024-09-08","Sunday","13:00","MIN",NA,"NYG",NA,"Home",NA,NA,NA,"2024090807",NA,NA,"202409080nyg",NA,"401671712",NA,7,7,-118,-102,-1,-110,-110,41.5,-112,-108,0,"outdoors","fieldturf",NA,NA,"00-0034869","00-0035710","Sam Darnold","Daniel Jones","Kevin O'Connell","Brian Daboll",NA,"NYC01","MetLife Stadium"
"11","2024_01_LV_LAC",2024,"REG",1,"2024-09-08","Sunday","16:05","LV",NA,"LAC",NA,"Home",NA,NA,NA,"2024090808",NA,NA,"202409080sdg",NA,"401671659",NA,7,7,150,-180,3.5,-112,-108,42.5,-108,-112,1,"dome","matrixturf",NA,NA,"00-0035289","00-0036355","Gardner Minshew","Justin Herbert","Antonio Pierce","Jim Harbaugh",NA,"LAX01","SoFi Stadium"
"12","2024_01_DEN_SEA",2024,"REG",1,"2024-09-08","Sunday","16:05","DEN",NA,"SEA",NA,"Home",NA,NA,NA,"2024090809",NA,NA,"202409080sea",NA,"401671664",NA,7,7,185,-225,5,-110,-110,42.5,-110,-110,0,"outdoors","fieldturf",NA,NA,"00-0039732","00-0030565","Bo Nix","Geno Smith","Sean Payton","Mike Macdonald",NA,"SEA00","Lumen Field"
"13","2024_01_DAL_CLE",2024,"REG",1,"2024-09-08","Sunday","16:25","DAL",NA,"CLE",NA,"Home",NA,NA,NA,"2024090810",NA,NA,"202409080cle",NA,"401671761",NA,7,7,114,-135,2.5,-110,-110,43,-110,-110,0,"outdoors","grass",NA,NA,"00-0033077","00-0033537","Dak Prescott","Deshaun Watson","Mike McCarthy","Kevin Stefanski",NA,"CLE00","FirstEnergy Stadium"
